ISO28178
FILE_DESCRIPTOR	"FOGRA51"
ORIGINATOR	"Fogra, www.fogra.org, developed by GMG GmbH & Co. KG, Heidelberger Druckmaschinen AG"
CREATED	"May 2015"
TARGET_TYPE	"ISO12642-2"
INSTRUMENTATION	"D50, 2 degree, geometry 45/0, no polarisation filter, white backing, according to ISO 13655:2009 M1"
PRINT_CONDITIONS	"Offset printing, according to ISO 12647-2:2013, OFCOM, print substrate 1 = premium coated, fluorescence moderate (8-14 DeltaB according to ISO 15397), 115 g/m2, tone value increase curves A (CMYK)"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"M1"
WEIGHTING_FUNCTION	"ILLUMINANT, D50"
WEIGHTING_FUNCTION	"OBSERVER, 2 degree"

# The following flag is intended to improve compatibility with legacy devices.
KEYWORD	"TRACEABILITY"
TRACEABILITY	"NIST"

NUMBER_OF_FIELDS	8
BEGIN_DATA_FORMAT
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	1617
BEGIN_DATA
1	0	0	0	0	95.00	1.50	-6.00
2	0	10	0	0	90.08	8.15	-7.42
3	0	20	0	0	85.20	14.67	-8.29
4	0	30	0	0	80.33	21.39	-8.87
5	0	40	0	0	75.43	28.45	-9.24
6	0	55	0	0	67.98	40.01	-9.56
7	0	70	0	0	60.42	52.69	-9.17
8	0	85	0	0	53.32	65.54	-7.71
9	0	100	0	0	48.06	75.29	-5.18
10	10	0	0	0	91.19	-2.28	-10.93
11	10	10	0	0	86.47	4.14	-11.97
12	10	20	0	0	81.74	10.48	-12.69
13	10	30	0	0	77.05	17.05	-13.20
14	10	40	0	0	72.39	23.71	-13.36
15	10	55	0	0	65.04	35.29	-13.80
16	10	70	0	0	57.69	47.54	-13.21
17	10	85	0	0	50.64	60.42	-12.20
18	10	100	0	0	45.36	70.44	-10.15
19	20	0	0	0	87.20	-5.64	-15.58
20	20	10	0	0	82.71	0.55	-16.41
21	20	20	0	0	78.13	6.82	-17.10
22	20	30	0	0	73.63	12.96	-17.21
23	20	40	0	0	69.00	19.75	-17.58
24	20	55	0	0	61.92	30.79	-17.90
25	20	70	0	0	54.67	43.07	-17.59
26	20	85	0	0	47.85	55.48	-16.64
27	20	100	0	0	42.75	65.36	-14.76
28	30	0	0	0	83.19	-9.04	-20.26
29	30	10	0	0	78.86	-3.06	-21.03
30	30	20	0	0	74.49	3.06	-21.47
31	30	30	0	0	70.10	9.12	-21.61
32	30	40	0	0	65.63	15.55	-21.84
33	30	55	0	0	58.82	26.25	-21.96
34	30	70	0	0	51.79	38.09	-21.59
35	30	85	0	0	45.06	50.62	-20.96
36	30	100	0	0	40.08	60.48	-19.61
37	40	0	0	0	79.15	-12.57	-24.94
38	40	10	0	0	74.98	-6.71	-25.60
39	40	20	0	0	70.80	-0.81	-25.82
40	40	30	0	0	66.54	5.13	-25.91
41	40	40	0	0	62.24	11.37	-26.06
42	40	55	0	0	55.70	21.88	-26.29
43	40	70	0	0	48.86	33.45	-25.85
44	40	85	0	0	42.31	45.45	-25.15
45	40	100	0	0	37.42	55.26	-24.13
46	55	0	0	0	72.95	-18.09	-32.32
47	55	10	0	0	69.08	-12.46	-32.61
48	55	20	0	0	65.15	-6.92	-32.53
49	55	30	0	0	61.16	-1.28	-32.51
50	55	40	0	0	57.13	4.79	-32.58
51	55	55	0	0	50.88	15.11	-32.86
52	55	70	0	0	44.47	25.94	-32.21
53	55	85	0	0	38.22	37.55	-31.73
54	55	100	0	0	33.61	47.12	-31.03
55	70	0	0	0	66.57	-24.03	-39.84
56	70	10	0	0	63.02	-18.76	-39.93
57	70	20	0	0	59.38	-13.26	-39.73
