CGATS.17
ORIGINATOR	"BabelColor PatchTool, version 5.5.0 b422"
LGOROWLENGTH	31
CREATED	"2021-12-06"  # Time: 10:26:28
INSTRUMENTATION	"Unknown"
MEASUREMENT_SOURCE	"Illumination=D50 ObserverAngle=2 WhiteBase=Abs Filter=Unknown"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"Unknown"
MEASUREMENT_CONDITION	"Unknown"
WEIGHTING_FUNCTION	"ILLUMINANT, D50"
WEIGHTING_FUNCTION	"OBSERVER, 2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"Unknown"
# 
KEYWORD	"SAMPLE_ID"
KEYWORD	"SAMPLE_NAME"
NUMBER_OF_FIELDS	41
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730
END_DATA_FORMAT
NUMBER_OF_SETS	620
BEGIN_DATA
1	A1	86.8165	-0.9134	-7.5314	0.329142	0.403978	0.462500	0.572533	0.751949	0.827608	0.830532	0.815616	0.785997	0.770612	0.761159	0.766256	0.771832	0.767328	0.751370	0.731738	0.714430	0.692463	0.664517	0.643690	0.645023	0.661065	0.670304	0.673041	0.679153	0.688715	0.699906	0.712076	0.722070	0.725574	0.722429	0.717478	0.713714	0.712734	0.720354	0.727298
2	A2	86.4434	-0.5842	-7.5837	0.325995	0.400187	0.457748	0.564895	0.742733	0.819845	0.822891	0.808114	0.778833	0.763603	0.753803	0.758508	0.763657	0.759016	0.742580	0.722848	0.705852	0.683517	0.654912	0.633495	0.636180	0.655517	0.666488	0.670315	0.675712	0.685447	0.696712	0.708917	0.719117	0.722523	0.719480	0.714622	0.710345	0.709895	0.717510	0.725166
3	A3	86.0439	-0.0055	-7.9845	0.326773	0.400309	0.457717	0.565073	0.741627	0.816903	0.820158	0.805127	0.775630	0.759955	0.749128	0.752038	0.755725	0.749466	0.732038	0.711686	0.695347	0.673517	0.644728	0.623352	0.627421	0.649674	0.662302	0.667356	0.673623	0.683525	0.694737	0.706941	0.717335	0.720348	0.717376	0.713017	0.708205	0.707812	0.714770	0.721728
4	A4	85.6625	0.5386	-8.0269	0.324887	0.399214	0.454225	0.559473	0.734280	0.810407	0.813285	0.797842	0.767602	0.751656	0.740242	0.742647	0.746233	0.739963	0.722050	0.701457	0.685287	0.663857	0.635122	0.613625	0.618514	0.644837	0.660953	0.666252	0.672215	0.682178	0.693442	0.705758	0.716038	0.719528	0.716320	0.711568	0.707583	0.706743	0.714816	0.722514
5	A5	85.3576	1.1462	-8.1780	0.322705	0.394669	0.451262	0.560037	0.733064	0.807017	0.809235	0.792973	0.762937	0.746442	0.734632	0.736353	0.738971	0.731748	0.712872	0.692535	0.676753	0.655537	0.626813	0.605305	0.612562	0.640962	0.659600	0.666422	0.673177	0.683310	0.694720	0.707060	0.717307	0.720862	0.717498	0.712790	0.709038	0.708226	0.714647	0.721794
6	A6	85.1760	1.7315	-8.1607	0.322773	0.396007	0.454778	0.557499	0.728596	0.803500	0.805501	0.789395	0.758986	0.742293	0.729884	0.730754	0.732573	0.724815	0.705748	0.685547	0.670499	0.650136	0.621761	0.600478	0.608979	0.640555	0.661412	0.669330	0.676027	0.686402	0.697808	0.710107	0.720387	0.723788	0.720685	0.716215	0.712260	0.711842	0.719405	0.727122
7	A7	84.8114	2.2525	-8.2111	0.322470	0.394024	0.449268	0.554052	0.723686	0.796574	0.798701	0.782478	0.752205	0.734632	0.721362	0.721788	0.723676	0.716223	0.696610	0.675922	0.661162	0.641095	0.612455	0.591322	0.601340	0.636073	0.658272	0.667665	0.675330	0.685792	0.697293	0.709381	0.719639	0.723265	0.719942	0.715495	0.710992	0.710491	0.718362	0.725890
8	A8	86.5406	-1.1364	-6.8488	0.325108	0.398055	0.453176	0.557778	0.733393	0.810248	0.813698	0.800102	0.770604	0.756336	0.748217	0.755640	0.763713	0.760997	0.746389	0.727232	0.709806	0.687977	0.659009	0.637981	0.639208	0.656377	0.665701	0.668117	0.673755	0.683270	0.694388	0.706635	0.716770	0.720383	0.717167	0.712548	0.708167	0.707623	0.715545	0.723923
