CGATS.17
ORIGINATOR	"BabelColor PatchTool, version 5.5.0 b422"
LGOROWLENGTH	31
CREATED	"2021-12-06"  # Time: 10:25:09
INSTRUMENTATION	"KONICA MINOLTA, INC. FD-9"
INSTRUMENT_SN	""
MEASUREMENT_SOURCE	"Illumination=D50 ObserverAngle=2 WhiteBase=Abs Filter=Unknown"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"Unknown"
MEASUREMENT_CONDITION	"Unknown"
WEIGHTING_FUNCTION	"ILLUMINANT, D50"
WEIGHTING_FUNCTION	"OBSERVER, 2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"Unknown"
# 
KEYWORD	"SAMPLE_ID"
KEYWORD	"SAMPLE_NAME"
NUMBER_OF_FIELDS	41
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730
END_DATA_FORMAT
NUMBER_OF_SETS	620
BEGIN_DATA
1	A1	85.8419	1.4820	-8.4169	0.326934	0.400051	0.458727	0.571440	0.749960	0.823630	0.824788	0.807453	0.776651	0.759369	0.746096	0.745940	0.746724	0.738642	0.719718	0.699424	0.684416	0.664602	0.636932	0.615845	0.624476	0.652639	0.669864	0.676901	0.684505	0.694830	0.706262	0.718452	0.728752	0.732062	0.728979	0.724268	0.720587	0.719762	0.726899	0.734036
2	A2	85.1927	1.9064	-8.8245	0.323536	0.396292	0.448832	0.560036	0.737370	0.813576	0.816825	0.799591	0.768420	0.750848	0.737123	0.735581	0.735633	0.726788	0.706729	0.685565	0.669877	0.649566	0.621251	0.600060	0.608642	0.640464	0.660267	0.668343	0.676738	0.687090	0.698520	0.711025	0.721205	0.724807	0.721526	0.716850	0.712881	0.712412	0.719689	0.726965
3	A3	84.7170	2.5849	-9.1397	0.322207	0.395144	0.453692	0.559851	0.734600	0.808333	0.810808	0.793225	0.762592	0.744436	0.729807	0.726711	0.725426	0.715499	0.694712	0.672971	0.657936	0.637821	0.609632	0.588143	0.598425	0.632226	0.657263	0.666011	0.674527	0.684787	0.696355	0.708771	0.719061	0.722630	0.719440	0.715139	0.711018	0.710525	0.718697	0.726869
4	A4	84.0756	3.2106	-9.1550	0.318748	0.389683	0.446564	0.548604	0.720797	0.795017	0.796872	0.780432	0.748847	0.730707	0.715763	0.712820	0.711313	0.700750	0.679274	0.657821	0.643292	0.623167	0.594855	0.572430	0.584339	0.624229	0.650722	0.660712	0.669500	0.679858	0.691354	0.703837	0.714205	0.718052	0.715170	0.710367	0.706112	0.704417	0.712844	0.721271
5	A5	83.6367	3.8668	-9.6339	0.316270	0.386930	0.446494	0.547496	0.719797	0.792954	0.794798	0.777456	0.746302	0.727126	0.710785	0.705790	0.702828	0.691411	0.668817	0.647019	0.632646	0.612512	0.582405	0.562028	0.575039	0.617558	0.646858	0.658399	0.666668	0.677493	0.689193	0.701939	0.712354	0.716209	0.712784	0.708307	0.703778	0.703073	0.710681	0.718289
6	A6	83.2378	4.7494	-9.4662	0.313922	0.383889	0.444775	0.543273	0.712865	0.784286	0.785056	0.766948	0.735122	0.715781	0.698735	0.693500	0.690382	0.678946	0.656108	0.634761	0.621022	0.602014	0.573754	0.552511	0.567527	0.614472	0.646534	0.660476	0.669414	0.680494	0.692331	0.705089	0.715074	0.719013	0.715852	0.711312	0.707104	0.706401	0.713610	0.720819
7	A7	82.8165	5.6859	-9.9403	0.317934	0.386753	0.440323	0.541298	0.709091	0.781414	0.783382	0.765901	0.733100	0.712615	0.694407	0.686728	0.681494	0.668619	0.644929	0.622491	0.609649	0.590996	0.562263	0.540606	0.558857	0.609420	0.644660	0.661070	0.670889	0.682254	0.694193	0.706808	0.717170	0.720803	0.717274	0.712800	0.709410	0.707947	0.715584	0.723222
8	A8	85.4794	1.1289	-7.7429	0.321419	0.393508	0.445884	0.552669	0.728595	0.803795	0.805800	0.790764	0.759438	0.743534	0.732052	0.734685	0.738498	0.732196	0.714263	0.694333	0.679106	0.658917	0.629885	0.608233	0.615978	0.644632	0.662667	0.669126	0.676576	0.686821	0.698272	0.710934	0.721191	0.724652	0.721563	0.717068	0.713144	0.712459	0.720097	0.727734
