SAMPLE_NAME	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B
5	3.529411765	2.745098039	2.745098039	0	92.2	1.51	-5.76
10	7.450980392	5.490196078	5.490196078	0	89.24	1.36	-5.66
15	11.76470588	8.62745098	8.235294118	0	85.93	1.33	-5.66
20	15.68627451	11.37254902	10.98039216	0	82.97	1.19	-5.44
25	20	14.50980392	14.11764706	0	79.69	1.1	-5.16
30	23.92156863	17.64705882	17.25490196	0	76.62	1.09	-4.85
40	32.54901961	24.70588235	23.92156863	0	69.91	1.11	-4.55
50	41.56862745	32.54901961	31.76470588	0	62.87	1	-3.89
60	51.37254902	41.96078431	40.39215686	0	55.25	1.12	-3.55
70	62.35294118	52.94117647	51.37254902	0	46.92	0.81	-2.86
75	68.23529412	59.60784314	57.64705882	0	42.37	0.91	-2.69
80	74.50980392	66.66666667	65.09803922	0	37.59	0.73	-2.27
85	81.56862745	76.07843137	74.11764706	0	32.29	0.87	-2.19
90	90.58823529	88.62745098	86.2745098	0	26.79	0.86	-1.9
95	97.64705882	99.21568627	97.64705882	0	23.67	0.13	-1.73
